url,source,headline_raw,article_date,scrape_status,error_message,headline_repaired,headline_clean,headline_char_count,headline_word_count
https://www.foxnews.com/lifestyle/jack-carrs-eisenhower-d-days-memo-noble-undertaking,FoxNews,Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking',2024-06-06T04:30:24-04:00,success,,Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking',jack carr recalls gen eisenhowers d day memo about 'great and noble undertaking',82,13
https://www.foxnews.com/entertainment/bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says,FoxNews,"Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says",2024-10-18T15:56:05-04:00,success,,"Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says",bruce willis demi moore avoided doing one thing while co parenting daughter says,82,13
https://www.foxnews.com/politics/blinken-meets-with-qatars-prime-minister.print,FoxNews,"Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'",2023-10-13T14:06:08-04:00,success,,"Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'",blinken meets qatar pm says israeli actions are not 'retaliation ' but 'defending the lives of its people',107,18
https://www.foxnews.com/entertainment/emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it,FoxNews,"Emily Blunt says her ?€?toes curl?€? when people tell her their kids want to act: 'I want to say, don?€?t do it!'",2023-06-09T13:55:28-04:00,success,,"Emily Blunt says her toes curl when people tell her their kids want to act: 'I want to say, don't do it!'",emily blunt says her toes curl when people tell her their kids want to act 'i want to say dont do it ',105,23
https://www.foxnews.com/media/the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention,FoxNews,"'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention",2024-08-19T21:00:35-04:00,success,,"'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention",'the view' co host cnn commentator ana navarro to host night 2 of democratic national convention,97,16
https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print,FoxNews,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,2024-10-16T17:35:17-04:00,success,,Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,striking boeing workers boo after democratic sen maria cantwell criticizes trump,81,11
https://www.foxnews.com/politics/white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print,FoxNews,"White House grilled on Harris' gun ownership, mandatory gun buybacks",2024-09-26T15:29:03-04:00,success,,"White House grilled on Harris' gun ownership, mandatory gun buybacks",white house grilled on harris' gun ownership mandatory gun buybacks,68,10
https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings,FoxNews,"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings",2024-09-08T19:00:46-04:00,success,,"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings",tom cotton turns tables on cnns dana bash on guns brings up harris' past remarks on school shootings,102,18
https://www.foxnews.com/politics/kamala-rides-tsunami-positive-press-skeptics-see-risky-choice,FoxNews,"Kamala rides tsunami of positive press, but skeptics see a risky choice",2024-07-24T07:09:26-04:00,success,,"Kamala rides tsunami of positive press, but skeptics see a risky choice",kamala rides tsunami of positive press but skeptics see a risky choice,71,12
https://www.foxnews.com/politics/harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces,FoxNews,Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,2024-08-06T14:52:34-04:00,success,,Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,93,12
https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says,FoxNews,"Israeli-American reservist killed by Hezbollah missile in Israel, IDF says",2023-10-21T11:28:21-04:00,success,,"Israeli-American reservist killed by Hezbollah missile in Israel, IDF says",israeli american reservist killed by hezbollah missile in israel idf says,74,11
https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies,FoxNews,"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89",2022-08-08T13:16:08-04:00,success,,"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89",david mccullough american historian and presidential medal of freedom recipient dies at 89,92,13
https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech,FoxNews,Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,2022-03-14T07:33:36-04:00,success,,Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,web designer who refuses to create sites for same sex weddings says colorado law violates free speech rights,108,18
https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy,FoxNews,Simon Cowell reveals how his son changed his judging style: ?€?I have much more empathy?€?,2022-08-24T16:37:33-04:00,success,,Simon Cowell reveals how his son changed his judging style: I have much more empathy,simon cowell reveals how his son changed his judging style i have much more empathy,84,15
https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers,FoxNews,Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,2022-10-31T02:00:09-04:00,success,,Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,rare disease day walking dead syndrome and other rare conditions baffle doctors and researchers,96,14
https://www.foxnews.com/media/cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years,FoxNews,CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years,2024-09-05T18:00:16-04:00,success,,CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years,cnn calls out harris for using trumps border wall in campaign ad after condemning it for years,95,17
https://www.foxnews.com/entertainment/taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes,FoxNews,"Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes",2023-10-01T10:52:31-04:00,success,,"Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes",taylor swift steals nyc spotlight during dinner with blake lively sophie turner and brittany mahomes,101,15
https://www.foxnews.com/health/ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety,FoxNews,"Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety",2024-02-17T06:25:39-05:00,success,,"Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety",ozempic the happy drug study suggests weight loss medications could reduce depression anxiety,96,13
https://www.foxnews.com/food-drink/pennsylvania-family-sickened-after-eating-toxic-mushrooms-expected-recover.print,FoxNews,Pennsylvania family sickened after eating toxic mushrooms expected to recover,2024-10-15T15:21:32-04:00,success,,Pennsylvania family sickened after eating toxic mushrooms expected to recover,pennsylvania family sickened after eating toxic mushrooms expected to recover,77,10
https://www.foxnews.com/health/family-selling-dream-home-fund-life-saving-treatment-daughter.print,FoxNews,Family selling dream home to fund life-saving treatment for 5-year-old daughter,2024-10-18T04:30:48-04:00,success,,Family selling dream home to fund life-saving treatment for 5-year-old daughter,family selling dream home to fund life saving treatment for 5 year old daughter,79,14
https://www.foxnews.com/world/israel-strikes-hamas-gaza-surprise-attack-exchanges-fire-hezbollah,FoxNews,"Israel declares war after Hamas surprise attack, launches retaliatory airstrikes in Gaza",2023-10-08T07:14:04-04:00,success,,"Israel declares war after Hamas surprise attack, launches retaliatory airstrikes in Gaza",israel declares war after hamas surprise attack launches retaliatory airstrikes in gaza,88,12
https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-get-support-from-family-after-surprise-eras-tour-stage-appearance,FoxNews,"Taylor Swift, Travis Kelce get support from family after surprise 'Eras Tour' stage appearance",2024-06-24T12:19:08-04:00,success,,"Taylor Swift, Travis Kelce get support from family after surprise 'Eras Tour' stage appearance",taylor swift travis kelce get support from family after surprise 'eras tour' stage appearance,94,14
https://www.foxnews.com/entertainment/jim-morrison-the-doors-memoir-robby-krieger,FoxNews,"The Doors' Jim Morrison had ?€?a fascination with death?€? before passing away at 27, bandmate Robby Krieger says",2021-10-12T05:00:25-04:00,success,,"The Doors' Jim Morrison had a fascination with death before passing away at 27, bandmate Robby Krieger says",the doors' jim morrison had a fascination with death before passing away at 27 bandmate robby krieger says,107,18
https://www.foxnews.com/politics/walz-repeats-georgia-abortion-death-falsehood-decried-doctors-fearmongering,FoxNews,Walz repeats Georgia abortion death falsehood decried by doctors as 'fearmongering',2024-10-01T23:14:59-04:00,success,,Walz repeats Georgia abortion death falsehood decried by doctors as 'fearmongering',walz repeats georgia abortion death falsehood decried by doctors as 'fearmongering',83,11
https://www.foxnews.com/politics/harris-campaign-wont-give-details-type-gun-she-owns-last-time-she-went-range,FoxNews,"Harris campaign won't give details on type of gun she owns, last time she went to range",2024-09-25T14:29:39-04:00,success,,"Harris campaign won't give details on type of gun she owns, last time she went to range",harris campaign wont give details on type of gun she owns last time she went to range,87,17
